STU_ID,stu_gender,race,aspire88,reading88,math88,science88,history88,reading90,math90,science90,history90,school_id,reading92,math92,science92,history92,faminc88,faminc92,freq_absent88,class_size88,teacher_cert88,teacher_status88,TCH_IDA,class_size90,teacher_cert92,class_size92,teacher_status92,teacher_id,high_faminc92,high_faminc88,male,asian,hispanic,black,white,native_american,fulltime88,fulltime92,certified88,certified92,small_class_size88,regular_class_size88,large_class_size88,small_class_size90,regular_class_size90,large_class_size90,small_class_size92,regular_class_size92,large_class_size92,always_small,always_nonsmall,totalscr88,totalscr90,totalscr92,ln_totalscr88,ln_totalscr90,ln_totalscr92,absent88_bin,uni_aspire88
124902,1,4,2,55.959999,50.27,55.57,54.580002,60.57,48.34,50.279999,68.989998,24724,61.41,49.77,52.490002,56.990002,10,12,2,24,1,1,2472407E,28,1,24,1,2472407E,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,216.38,228.17999,220.66,5.3770361,5.4301348,5.3966231,Not frequently absent,Does not expect university
175585,2,4,4,59.779999,60.959999,58.240002,56.759998,61.369999,62.110001,61.459999,58.099998,13444,60.279999,62.5,67.190002,57.27,10,9,1,18,4,1,1344405M,13,1,21,1,1344405M,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,235.73999,243.03999,247.24001,5.4627295,5.4932261,5.5103598,Frequently absent,Does not expect university
180607,1,4,6,60.16,60.610001,46.490002,64.739998,58.080002,56.639999,57.25,56.369999,95212,63.57,58.77,59.41,55.150002,8,9,2,29,1,1,9521202E,35,1,22,1,9521202E,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,232,228.34,236.89999,5.4467373,5.4308357,5.467638,Not frequently absent,Expects university
180608,1,4,5,70.550003,60.119999,61.48,65.309998,60.66,50.610001,55.049999,59.419998,38063,61.73,59.25,68.529999,61.290001,10,13,2,29,1,1,3806301S,24,4,26,1,3806301S,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,257.45999,225.73999,250.8,5.5508642,5.419384,5.5246558,Not frequently absent,Expects university
180610,1,4,5,63.669998,63.900002,57.700001,66.720001,55.73,62.360001,50.91,60.950001,38063,55.400002,63.43,50.57,59.900002,11,12,2,29,1,1,3806301S,24,4,26,1,3806301S,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,251.99001,229.95,229.3,5.5293894,5.4378619,5.4350314,Not frequently absent,Expects university
180665,1,4,6,57.119999,61.040001,51.41,59.560001,53.5,55.470001,53.610001,59.830002,95212,50.700001,61.369999,62.27,58.41,11,12,2,29,1,1,9521202E,35,1,10,1,9521202E,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,229.13,222.41,232.75,5.4342895,5.4045224,5.449965,Not frequently absent,Expects university
180681,1,4,5,63.900002,72.940002,53.119999,73.360001,59.650002,62.360001,52.060001,60.029999,95212,59.279999,64.139999,61.540001,64.870003,11,13,2,29,1,1,9521203S,24,1,18,1,9521203S,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,263.32001,234.10001,249.83,5.57337,5.4557486,5.5207806,Not frequently absent,Expects university
180690,1,4,6,70.550003,59.779999,57.93,66.93,65.839996,62.080002,41.48,69.900002,95212,63.310001,63.5,44.060001,61.830002,10,13,2,29,1,1,9521203S,24,1,18,1,9521203S,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,255.19,239.3,232.70001,5.5420084,5.4777179,5.4497499,Not frequently absent,Expects university
184619,1,4,5,52.18,50.060001,42.849998,51.82,47.48,41.310001,45.84,47.139999,46743,55.900002,44.32,47.18,47.459999,4,5,2,20,4,1,4674303M,35,4,18,1,4674303M,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,196.91,181.77,194.86,5.2827468,5.2027421,5.2722812,Not frequently absent,Expects university
184690,1,4,5,60.700001,57.150002,58.98,51.830002,56.389999,39.360001,45.98,47.299999,46743,56.919998,50.880001,52.810001,54.400002,11,12,2,18,4,1,4674301M,40,1,29,1,4674301M,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,228.66,189.03,215.01001,5.4322362,5.2419057,5.3706846,Not frequently absent,Expects university
